	sent_index	word_index	word	region	condition
0	0	0	Les	Det	Nf_Vm
1	0	1	dépenses	N2f	Nf_Vm
2	0	2	étaient	sont	Nf_Vm
3	0	3	importants	Masc	Nf_Vm
4	0	5	<eos>	End	Nf_Vm
5	1	0	Les	Det	Nf_Vm
6	1	1	difficultés	N2f	Nf_Vm
7	1	2	étaient	sont	Nf_Vm
8	1	3	nombreux	Masc	Nf_Vm
9	1	5	<eos>	End	Nf_Vm
10	2	0	Les	Det	Nf_Vm
11	2	1	qualités	N2f	Nf_Vm
12	2	2	étaient	sont	Nf_Vm
13	2	3	divers	Masc	Nf_Vm
14	2	5	<eos>	End	Nf_Vm
15	3	0	Les	Det	Nf_Vm
16	3	1	règles	N2f	Nf_Vm
17	3	2	étaient	sont	Nf_Vm
18	3	3	publiés	Masc	Nf_Vm
19	3	5	<eos>	End	Nf_Vm
20	4	0	Les	Det	Nf_Vm
21	4	1	opérations	N2f	Nf_Vm
22	4	2	étaient	sont	Nf_Vm
23	4	3	chers	Masc	Nf_Vm
24	4	5	<eos>	End	Nf_Vm
25	5	0	Les	Det	Nf_Vm
26	5	1	machines	N2f	Nf_Vm
27	5	2	étaient	sont	Nf_Vm
28	5	3	assurés	Masc	Nf_Vm
29	5	5	<eos>	End	Nf_Vm
30	6	0	Les	Det	Nf_Vm
31	6	1	régions	N2f	Nf_Vm
32	6	2	étaient	sont	Nf_Vm
33	6	3	rejetés	Masc	Nf_Vm
34	6	5	<eos>	End	Nf_Vm
35	7	0	Les	Det	Nf_Vm
36	7	1	réductions	N2f	Nf_Vm
37	7	2	étaient	sont	Nf_Vm
38	7	3	accordés	Masc	Nf_Vm
39	7	5	<eos>	End	Nf_Vm
40	8	0	Les	Det	Nf_Vm
41	8	1	technologies	N2f	Nf_Vm
42	8	2	étaient	sont	Nf_Vm
43	8	3	adaptés	Masc	Nf_Vm
44	8	5	<eos>	End	Nf_Vm
45	9	0	Les	Det	Nf_Vm
46	9	1	conséquences	N2f	Nf_Vm
47	9	2	étaient	sont	Nf_Vm
48	9	3	attendus	Masc	Nf_Vm
49	9	5	<eos>	End	Nf_Vm
50	10	0	Les	Det	Nf_Vm
51	10	1	activités	N2f	Nf_Vm
52	10	2	étaient	sont	Nf_Vm
53	10	3	différents	Masc	Nf_Vm
54	10	5	<eos>	End	Nf_Vm
55	11	0	Les	Det	Nf_Vm
56	11	1	maisons	N2f	Nf_Vm
57	11	2	étaient	sont	Nf_Vm
58	11	3	nouveaux	Masc	Nf_Vm
59	11	5	<eos>	End	Nf_Vm
60	12	0	Les	Det	Nf_Vm
61	12	1	matières	N2f	Nf_Vm
62	12	2	sont	sont	Nf_Vm
63	12	3	connus	Masc	Nf_Vm
64	12	5	<eos>	End	Nf_Vm
65	13	0	Les	Det	Nf_Vm
66	13	1	dates	N2f	Nf_Vm
67	13	2	sont	sont	Nf_Vm
68	13	3	fixés	Masc	Nf_Vm
69	13	5	<eos>	End	Nf_Vm
70	14	0	Les	Det	Nf_Vm
71	14	1	écoles	N2f	Nf_Vm
72	14	2	sont	sont	Nf_Vm
73	14	3	ouverts	Masc	Nf_Vm
74	14	5	<eos>	End	Nf_Vm
75	15	0	Les	Det	Nf_Vm
76	15	1	attitudes	N2f	Nf_Vm
77	15	2	sont	sont	Nf_Vm
78	15	3	mauvais	Masc	Nf_Vm
79	15	5	<eos>	End	Nf_Vm
80	16	0	Les	Det	Nf_Vm
81	16	1	principes	N2f	Nf_Vm
82	16	2	sont	sont	Nf_Vm
83	16	3	prêts	Masc	Nf_Vm
84	16	5	<eos>	End	Nf_Vm
85	17	0	Les	Det	Nf_Vm
86	17	1	garanties	N2f	Nf_Vm
87	17	2	sont	sont	Nf_Vm
88	17	3	considérés	Masc	Nf_Vm
89	17	5	<eos>	End	Nf_Vm
90	18	0	Les	Det	Nf_Vm
91	18	1	primes	N2f	Nf_Vm
92	18	2	sont	sont	Nf_Vm
93	18	3	élevés	Masc	Nf_Vm
94	18	5	<eos>	End	Nf_Vm
95	19	0	Les	Det	Nf_Vm
96	19	1	histoires	N2f	Nf_Vm
97	19	2	sont	sont	Nf_Vm
98	19	3	intéressants	Masc	Nf_Vm
99	19	5	<eos>	End	Nf_Vm
100	20	0	Les	Det	Nf_Vm
101	20	1	manifestations	N2f	Nf_Vm
102	20	2	sont	sont	Nf_Vm
103	20	3	prévus	Masc	Nf_Vm
