	sent_index	word_index	word	region	condition
0	0	0	Les	det2pl	Npl_Vsg
1	0	1	conseillers	np2pl	Npl_Vsg
2	0	2	va	Vsg	Npl_Vsg
3	0	4	<eos>	End	Npl_Vsg
4	1	0	Les	det2pl	Npl_Vsg
5	1	1	joueurs	np2pl	Npl_Vsg
6	1	2	va	Vsg	Npl_Vsg
7	1	4	<eos>	End	Npl_Vsg
8	2	0	Les	det2pl	Npl_Vsg
9	2	1	ministres	np2pl	Npl_Vsg
10	2	2	va	Vsg	Npl_Vsg
11	2	4	<eos>	End	Npl_Vsg
12	3	0	Les	det2pl	Npl_Vsg
13	3	1	invités	np2pl	Npl_Vsg
14	3	2	va	Vsg	Npl_Vsg
15	3	4	<eos>	End	Npl_Vsg
16	4	0	Les	det2pl	Npl_Vsg
17	4	1	préfets	np2pl	Npl_Vsg
18	4	2	va	Vsg	Npl_Vsg
19	4	4	<eos>	End	Npl_Vsg
20	5	0	Les	det2pl	Npl_Vsg
21	5	1	enfants	np2pl	Npl_Vsg
22	5	2	va	Vsg	Npl_Vsg
23	5	4	<eos>	End	Npl_Vsg
24	6	0	Mes	det2pl	Npl_Vsg
25	6	1	amis	np2pl	Npl_Vsg
26	6	2	va	Vsg	Npl_Vsg
27	6	4	<eos>	End	Npl_Vsg
28	7	0	Les	det2pl	Npl_Vsg
29	7	1	administrateurs	np2pl	Npl_Vsg
30	7	2	va	Vsg	Npl_Vsg
31	7	4	<eos>	End	Npl_Vsg
32	8	0	Les	det2pl	Npl_Vsg
33	8	1	secrétaires	np2pl	Npl_Vsg
34	8	2	va	Vsg	Npl_Vsg
35	8	4	<eos>	End	Npl_Vsg
36	9	0	Les	det2pl	Npl_Vsg
37	9	1	collègues	np2pl	Npl_Vsg
38	9	2	va	Vsg	Npl_Vsg
39	9	4	<eos>	End	Npl_Vsg
40	10	0	Les	det2pl	Npl_Vsg
41	10	1	employés	np2pl	Npl_Vsg
42	10	2	va	Vsg	Npl_Vsg
43	10	4	<eos>	End	Npl_Vsg
44	11	0	Les	det2pl	Npl_Vsg
45	11	1	ingénieurs	np2pl	Npl_Vsg
46	11	2	va	Vsg	Npl_Vsg
47	11	4	<eos>	End	Npl_Vsg
48	12	0	Les	det2pl	Npl_Vsg
49	12	1	châteaux	np2pl	Npl_Vsg
50	12	2	va	Vsg	Npl_Vsg
51	12	4	<eos>	End	Npl_Vsg
52	13	0	Les	det2pl	Npl_Vsg
53	13	1	discours	np2pl	Npl_Vsg
54	13	2	va	Vsg	Npl_Vsg
55	13	4	<eos>	End	Npl_Vsg
56	14	0	Les	det2pl	Npl_Vsg
57	14	1	trains	np2pl	Npl_Vsg
58	14	2	va	Vsg	Npl_Vsg
59	14	4	<eos>	End	Npl_Vsg
60	15	0	Les	det2pl	Npl_Vsg
61	15	1	transports	np2pl	Npl_Vsg
62	15	2	va	Vsg	Npl_Vsg
63	15	4	<eos>	End	Npl_Vsg
64	16	0	Les	det2pl	Npl_Vsg
65	16	1	régions	np2pl	Npl_Vsg
66	16	2	va	Vsg	Npl_Vsg
67	16	4	<eos>	End	Npl_Vsg
68	17	0	Les	det2pl	Npl_Vsg
69	17	1	syndicats	np2pl	Npl_Vsg
70	17	2	va	Vsg	Npl_Vsg
71	17	4	<eos>	End	Npl_Vsg
72	18	0	Les	det2pl	Npl_Vsg
73	18	1	métro	np2pl	Npl_Vsg
74	18	2	va	Vsg	Npl_Vsg
75	18	4	<eos>	End	Npl_Vsg
76	19	0	Les	det2pl	Npl_Vsg
77	19	1	marchés	np2pl	Npl_Vsg
78	19	2	va	Vsg	Npl_Vsg
79	19	4	<eos>	End	Npl_Vsg
80	20	0	Les	det2pl	Npl_Vsg
81	20	1	questions	np2pl	Npl_Vsg
82	20	2	va	Vsg	Npl_Vsg
83	20	4	<eos>	End	Npl_Vsg
84	21	0	Les	det2pl	Npl_Vsg
85	21	1	événements	np2pl	Npl_Vsg
86	21	2	va	Vsg	Npl_Vsg
87	21	4	<eos>	End	Npl_Vsg
88	22	0	Les	det2pl	Npl_Vsg
89	22	1	films	np2pl	Npl_Vsg
90	22	2	va	Vsg	Npl_Vsg
91	22	4	<eos>	End	Npl_Vsg
92	23	0	Les	det2pl	Npl_Vsg
93	23	1	manifestations	np2pl	Npl_Vsg
94	23	2	va	Vsg	Npl_Vsg
95	23	4	<eos>	End	Npl_Vsg
96	0	0	Les	det2pl	Npl_Vpl
97	0	1	conseillers	np2pl	Npl_Vpl
98	0	2	vont	Vpl	Npl_Vpl
99	0	4	<eos>	End	Npl_Vpl
100	1	0	Les	det2pl	Npl_Vpl
101	1	1	joueurs	np2pl	Npl_Vpl
102	1	2	vont	Vpl	Npl_Vpl
103	1	4	<eos>	End	Npl_Vpl
104	2	0	Les	det2pl	Npl_Vpl
